app,date,value
الفا اپ,2015/06/24 00:00,24
الفا اپ,2015/06/24 01:00,10
الفا اپ,2015/06/24 02:00,12
الفا اپ,2015/06/24 03:00,14
الفا اپ,2015/06/24 04:00,17
الفا اپ,2015/06/24 05:00,32
الفا اپ,2015/06/24 06:00,19
الفا اپ,2015/06/24 07:00,10
الفا اپ,2015/06/24 08:00,16
الفا اپ,2015/06/24 09:00,25
الفا اپ,2015/06/24 10:00,9
الفا اپ,2015/06/24 11:00,17
الفا اپ,2015/06/24 12:00,11
الفا اپ,2015/06/24 13:00,27
الفا اپ,2015/06/24 14:00,31
الفا اپ,2015/06/24 15:00,25
الفا اپ,2015/06/24 16:00,21
الفا اپ,2015/06/24 17:00,12
الفا اپ,2015/06/24 18:00,7
الفا اپ,2015/06/24 19:00,17
الفا اپ,2015/06/24 20:00,43
الفا اپ,2015/06/24 21:00,11
الفا اپ,2015/06/24 22:00,14
الفا اپ,2015/06/24 23:00,21
امگا اپ,2015/06/24 00:00,16
امگا اپ,2015/06/24 01:00,12
امگا اپ,2015/06/24 02:00,22
امگا اپ,2015/06/24 03:00,10
امگا اپ,2015/06/24 04:00,7
امگا اپ,2015/06/24 05:00,30
امگا اپ,2015/06/24 06:00,21
امگا اپ,2015/06/24 07:00,10
امگا اپ,2015/06/24 08:00,19
امگا اپ,2015/06/24 09:00,25
امگا اپ,2015/06/24 10:00,29
امگا اپ,2015/06/24 11:00,17
امگا اپ,2015/06/24 12:00,31
امگا اپ,2015/06/24 13:00,20
امگا اپ,2015/06/24 14:00,12
امگا اپ,2015/06/24 15:00,5
امگا اپ,2015/06/24 16:00,36
امگا اپ,2015/06/24 17:00,21
امگا اپ,2015/06/24 18:00,14
امگا اپ,2015/06/24 19:00,20
امگا اپ,2015/06/24 20:00,8
امگا اپ,2015/06/24 21:00,19
امگا اپ,2015/06/24 22:00,14
امگا اپ,2015/06/24 23:00,4
دلتا اپ,2015/06/24 00:00,12
دلتا اپ,2015/06/24 01:00,18
دلتا اپ,2015/06/24 02:00,23
دلتا اپ,2015/06/24 03:00,10
دلتا اپ,2015/06/24 04:00,29
دلتا اپ,2015/06/24 05:00,20
دلتا اپ,2015/06/24 06:00,12
دلتا اپ,2015/06/24 07:00,24
دلتا اپ,2015/06/24 08:00,6
دلتا اپ,2015/06/24 09:00,20
دلتا اپ,2015/06/24 10:00,27
دلتا اپ,2015/06/24 11:00,10
دلتا اپ,2015/06/24 12:00,22
دلتا اپ,2015/06/24 13:00,29
دلتا اپ,2015/06/24 14:00,12
دلتا اپ,2015/06/24 15:00,7
دلتا اپ,2015/06/24 16:00,5
دلتا اپ,2015/06/24 17:00,15
دلتا اپ,2015/06/24 18:00,27
دلتا اپ,2015/06/24 19:00,7
دلتا اپ,2015/06/24 20:00,19
دلتا اپ,2015/06/24 21:00,25
دلتا اپ,2015/06/24 22:00,14
دلتا اپ,2015/06/24 23:00,10
سیگما اپ,2015/06/24 00:00,29
سیگما اپ,2015/06/24 01:00,16
سیگما اپ,2015/06/24 02:00,20
سیگما اپ,2015/06/24 03:00,16
سیگما اپ,2015/06/24 04:00,10
سیگما اپ,2015/06/24 05:00,25
سیگما اپ,2015/06/24 06:00,12
سیگما اپ,2015/06/24 07:00,9
سیگما اپ,2015/06/24 08:00,19
سیگما اپ,2015/06/24 09:00,25
سیگما اپ,2015/06/24 10:00,29
سیگما اپ,2015/06/24 11:00,17
سیگما اپ,2015/06/24 12:00,21
سیگما اپ,2015/06/24 13:00,19
سیگما اپ,2015/06/24 14:00,26
سیگما اپ,2015/06/24 15:00,16
سیگما اپ,2015/06/24 16:00,15
سیگما اپ,2015/06/24 17:00,18
سیگما اپ,2015/06/24 18:00,29
سیگما اپ,2015/06/24 19:00,17
سیگما اپ,2015/06/24 20:00,20
سیگما اپ,2015/06/24 21:00,19
سیگما اپ,2015/06/24 22:00,8
سیگما اپ,2015/06/24 23:00,10